state,district,crop,soil_type,water_source,sowing_month,avg_temp,rainfall,yield_per_acre,market_price
Karnataka,Bangalore Urban,Onion,Clay,Canal,8,17,285,8.96,2323
Karnataka,Mysore,Wheat,Sandy Loam,Borewell,5,30,38,1.03,2100
Karnataka,Bangalore Urban,Potato,Red,Canal,7,25,25,16.34,1748
Tamil Nadu,Salem,Maize,Red,Canal,1,31,277,2.62,1994
Maharashtra,Thane,Onion,Sandy,River,1,24,272,6.17,2172
Maharashtra,Nashik,Tomato,Alluvial,River,3,32,155,9.4,2677
Maharashtra,Thane,Coconut,Loamy,Rain-fed,11,38,284,44.19,27
Karnataka,Belagavi,Tomato,Laterite,River,2,26,94,11.1,2662
Karnataka,Belagavi,Onion,Red,Rain-fed,9,35,218,4.54,2560
Karnataka,Mandya,Potato,Alluvial,Rain-fed,4,26,190,15.68,2328
Maharashtra,Pune,Onion,Loamy,River,1,18,243,9.3,1881
Karnataka,Mandya,Maize,Clay,River,5,13,102,2.16,2092
Karnataka,Haveri,Wheat,Black,Borewell,4,21,167,1.67,2180
Tamil Nadu,Chennai,Rice,Sandy,River,12,37,202,1.41,2532
Maharashtra,Pune,Coconut,Red,Tank,3,21,201,49.76,30
Tamil Nadu,Chennai,Wheat,Alluvial,Rain-fed,6,14,54,1.24,2096
Tamil Nadu,Salem,Maize,Sandy,Canal,7,27,27,2.99,1770
Tamil Nadu,Coimbatore,Coconut,Sandy,River,3,30,47,46.75,32
Karnataka,Bangalore Urban,Tomato,Alluvial,Borewell,12,23,280,13.83,3373
Maharashtra,Thane,Rice,Loamy,River,8,20,217,2.38,1749
Karnataka,Bangalore Urban,Onion,Clay,Borewell,1,34,138,5.31,2160
Maharashtra,Nagpur,Tomato,Loamy,Tank,11,22,222,13.64,2525
Karnataka,Mysore,Potato,Red,Rain-fed,11,25,158,14.22,2043
Karnataka,Mysore,Tomato,Sandy Loam,Canal,10,34,267,9.36,3274
Tamil Nadu,Coimbatore,Coconut,Sandy Loam,River,10,33,88,49.13,33
Tamil Nadu,Madurai,Onion,Clay,Borewell,12,27,220,7.14,2628
Karnataka,Mysore,Potato,Sandy Loam,River,12,38,197,7.83,2632
Karnataka,Belagavi,Potato,Red,Rain-fed,6,30,272,10.84,2116
Maharashtra,Nagpur,Potato,Laterite,Tank,9,18,237,16.54,1709
Maharashtra,Pune,Potato,Red,River,3,29,70,10.96,1904
Karnataka,Dharwad,Rice,Laterite,Canal,4,23,22,2.41,2694
Tamil Nadu,Madurai,Chilli,Red,Borewell,7,18,157,1.62,13725
Tamil Nadu,Madurai,Wheat,Clay,Rain-fed,4,15,71,1.16,2272
Karnataka,Bangalore Urban,Wheat,Sandy Loam,Borewell,2,37,173,0.64,2294
Maharashtra,Thane,Coconut,Clay,Rain-fed,2,21,139,44.14,24
Karnataka,Dharwad,Coconut,Clay,Borewell,8,27,105,60.89,39
Maharashtra,Pune,Potato,Loamy,Rain-fed,6,29,158,13.22,1678
Karnataka,Belagavi,Coconut,Alluvial,Tank,4,28,63,61.68,36
Tamil Nadu,Chennai,Potato,Sandy Loam,River,4,37,230,7.61,1605
Maharashtra,Nagpur,Potato,Loamy,Tank,1,31,216,12.34,1750
Maharashtra,Thane,Maize,Clay,Borewell,8,38,71,1.92,2099
Karnataka,Belagavi,Tomato,Red,River,8,28,208,10.08,2757
Karnataka,Belagavi,Tomato,Black,Borewell,10,28,55,12.59,3373
Maharashtra,Nashik,Rice,Loamy,River,9,38,225,1.71,1936
Karnataka,Dharwad,Onion,Black,Rain-fed,7,20,282,9.38,2024
Karnataka,Mandya,Chilli,Sandy,River,5,35,92,1.06,16551
Karnataka,Mysore,Chilli,Alluvial,Borewell,4,22,253,1.99,15866
Tamil Nadu,Coimbatore,Potato,Sandy,Canal,7,32,157,10.61,1647
Karnataka,Mandya,Wheat,Black,Tank,9,12,188,1.48,2200
Tamil Nadu,Madurai,Maize,Alluvial,Canal,9,24,210,4.11,1653
Tamil Nadu,Madurai,Maize,Laterite,Borewell,10,38,255,2.12,2147
Maharashtra,Pune,Rice,Black,Canal,9,15,69,2.03,1720
Karnataka,Mysore,Rice,Loamy,Canal,4,25,166,2.89,2330
Tamil Nadu,Chennai,Chilli,Black,Canal,4,27,221,2.01,14317
Karnataka,Bangalore Urban,Maize,Black,Tank,10,34,83,2.68,2532
Maharashtra,Nashik,Coconut,Clay,River,12,29,256,57.76,28
Tamil Nadu,Madurai,Chilli,Sandy,Borewell,12,29,34,1.57,15549
Tamil Nadu,Salem,Potato,Black,Rain-fed,12,18,203,19.75,1678
Tamil Nadu,Chennai,Potato,Laterite,Canal,6,21,289,19.18,1759
Karnataka,Mandya,Wheat,Loamy,Borewell,5,37,22,0.74,2497
Maharashtra,Thane,Onion,Sandy Loam,River,7,33,46,5.12,1991
Karnataka,Dharwad,Wheat,Laterite,Canal,5,27,178,1.11,2583
Tamil Nadu,Coimbatore,Potato,Laterite,Borewell,10,23,243,16.96,1644
Maharashtra,Thane,Tomato,Laterite,Borewell,5,30,74,11.68,2491
Maharashtra,Pune,Coconut,Red,Tank,12,34,206,51.77,34
Maharashtra,Nagpur,Chilli,Red,Tank,9,28,173,1.63,13757
Karnataka,Mysore,Tomato,Loamy,Rain-fed,5,15,257,9.62,2483
Maharashtra,Thane,Rice,Clay,Canal,9,22,174,2.62,1781
Maharashtra,Pune,Wheat,Red,Tank,10,12,56,1.32,1993
Maharashtra,Nagpur,Chilli,Loamy,Tank,2,35,171,1.39,12923
Maharashtra,Pune,Tomato,Black,Tank,6,38,90,7.27,2423
Maharashtra,Nashik,Maize,Red,River,4,18,210,2.86,2000
Maharashtra,Nagpur,Maize,Alluvial,Canal,2,37,256,2.53,1943
Tamil Nadu,Salem,Onion,Red,Borewell,4,27,81,6.91,1809
Tamil Nadu,Chennai,Rice,Red,Borewell,4,28,133,2.62,1729
Maharashtra,Nashik,Wheat,Sandy Loam,Canal,2,22,63,1.28,2391
Maharashtra,Pune,Rice,Red,Rain-fed,2,19,241,1.83,2091
Tamil Nadu,Coimbatore,Rice,Red,Canal,1,16,295,1.75,2004
Karnataka,Belagavi,Tomato,Red,Canal,11,32,265,9.07,3495
Maharashtra,Nashik,Chilli,Clay,Tank,7,34,268,1.29,10987
Karnataka,Bangalore Urban,Maize,Clay,Tank,3,35,262,2.04,2378
Karnataka,Belagavi,Onion,Sandy Loam,Canal,9,30,188,7.06,2793
Maharashtra,Nagpur,Potato,Black,Rain-fed,1,27,278,13.65,1677
Maharashtra,Nagpur,Rice,Black,Borewell,9,33,29,2.2,2166
Karnataka,Mandya,Potato,Loamy,Canal,7,19,180,20.59,2024
Maharashtra,Nashik,Maize,Loamy,River,7,19,172,2.92,1696
Maharashtra,Pune,Potato,Red,River,8,32,243,11.29,1859
Karnataka,Haveri,Onion,Loamy,Tank,1,16,43,7.69,2480
Maharashtra,Pune,Potato,Sandy,River,1,25,132,11.0,1612
Tamil Nadu,Coimbatore,Coconut,Red,Canal,2,33,117,56.98,27
Maharashtra,Pune,Tomato,Sandy,Borewell,4,12,276,7.36,2698
Karnataka,Bangalore Urban,Chilli,Red,River,11,38,200,1.16,15865
Karnataka,Belagavi,Maize,Loamy,Rain-fed,5,27,20,2.63,2263
Karnataka,Belagavi,Wheat,Laterite,River,3,18,250,1.4,2199
Tamil Nadu,Salem,Chilli,Black,Rain-fed,3,22,271,1.61,11351
Karnataka,Dharwad,Onion,Sandy,Borewell,8,37,187,4.24,2192
Karnataka,Mandya,Wheat,Red,Canal,5,15,69,1.74,2317
Karnataka,Dharwad,Wheat,Laterite,Borewell,12,22,37,1.4,2598
Karnataka,Bangalore Urban,Rice,Clay,Borewell,12,38,273,1.51,2618
Karnataka,Bangalore Urban,Potato,Laterite,Rain-fed,1,12,273,16.03,2215
Tamil Nadu,Coimbatore,Wheat,Sandy Loam,Borewell,3,37,235,0.72,2275
Tamil Nadu,Salem,Onion,Loamy,River,5,18,82,8.51,1810
Tamil Nadu,Madurai,Coconut,Red,Borewell,9,26,243,65.96,25
Karnataka,Belagavi,Wheat,Sandy Loam,Rain-fed,9,36,159,0.7,2587
Tamil Nadu,Salem,Coconut,Loamy,Canal,1,15,187,47.02,27
Karnataka,Dharwad,Rice,Red,Tank,5,34,30,1.84,2386
Tamil Nadu,Madurai,Wheat,Red,Rain-fed,10,14,22,1.33,2445
Karnataka,Haveri,Chilli,Sandy Loam,Canal,4,32,196,1.69,16575
Maharashtra,Thane,Coconut,Red,River,4,16,84,40.8,28
Tamil Nadu,Salem,Rice,Loamy,Tank,1,25,176,2.88,2027
Maharashtra,Pune,Potato,Red,River,4,38,187,7.91,1900
Karnataka,Belagavi,Maize,Sandy Loam,Rain-fed,11,17,39,1.99,2714
Tamil Nadu,Salem,Rice,Clay,Canal,12,21,37,2.29,2065
Tamil Nadu,Salem,Chilli,Alluvial,Borewell,12,28,192,1.94,13179
Karnataka,Mandya,Chilli,Loamy,Tank,11,38,131,1.28,17235
Tamil Nadu,Salem,Maize,Red,River,12,21,194,2.92,1967
Maharashtra,Nashik,Onion,Laterite,Canal,10,28,148,6.75,2646
Tamil Nadu,Madurai,Tomato,Laterite,Rain-fed,10,14,174,8.88,2498
Maharashtra,Pune,Coconut,Loamy,Canal,4,34,132,65.08,24
Maharashtra,Nashik,Chilli,Black,River,6,29,199,1.66,13660
Maharashtra,Nashik,Maize,Laterite,River,12,21,259,3.06,2231
Maharashtra,Nagpur,Wheat,Sandy Loam,River,8,19,28,1.5,2248
